"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"BevolkingAanHetEindeVanDePeriode_15"
"17340";"GM1680";"2002JJ00";"25552";"25305"
"17353";"GM1680";"2003JJ00";"25305";"25218"
"17366";"GM1680";"2004JJ00";"25218";"25329"
"17379";"GM1680";"2005JJ00";"25329";"25507"
"17392";"GM1680";"2006JJ00";"25507";"25563"
"17405";"GM1680";"2007JJ00";"25563";"25598"
"17418";"GM1680";"2008JJ00";"25598";"25675"
"17431";"GM1680";"2009JJ00";"25675";"25563"
"17444";"GM1680";"2010JJ00";"25563";"25785"
"17457";"GM1680";"2011JJ00";"25785";"25738"
"17470";"GM1680";"2012JJ00";"25738";"25541"
"17483";"GM1680";"2013JJ00";"25541";"25357"
"17496";"GM1680";"2014JJ00";"25357";"25203"
"17509";"GM1680";"2015JJ00";"25203";"25243"
"17522";"GM1680";"2016JJ00";"25243";"25286"
"17535";"GM1680";"2017JJ00";"25286";"25390"
"17548";"GM1680";"2018JJ00";"25390";"25386"
"17561";"GM1680";"2019JJ00";"25386";"25445"
"17574";"GM1680";"2020JJ00";"25445";"25399"
"17587";"GM1680";"2021JJ00";"25399";"25579"
"17600";"GM1680";"2022JJ00";"25579";"25724"
"17613";"GM1680";"2023JJ00";"25724";"25845"
"17626";"GM1680";"2024JJ00";"25845";"25935"
"17644";"GM0738";"2002JJ00";"12006";"12087"
"17657";"GM0738";"2003JJ00";"12087";"12204"
"17670";"GM0738";"2004JJ00";"12204";"12164"
"17683";"GM0738";"2005JJ00";"12164";"12222"
"17696";"GM0738";"2006JJ00";"12222";"12293"
"17709";"GM0738";"2007JJ00";"12293";"12386"
"17722";"GM0738";"2008JJ00";"12386";"12556"
"17735";"GM0738";"2009JJ00";"12556";"12614"
"17748";"GM0738";"2010JJ00";"12614";"12685"
"17761";"GM0738";"2011JJ00";"12685";"12749"
"17774";"GM0738";"2012JJ00";"12749";"12774"
"17787";"GM0738";"2013JJ00";"12774";"12846"
"17800";"GM0738";"2014JJ00";"12846";"12922"
"17813";"GM0738";"2015JJ00";"12922";"13038"
"17826";"GM0738";"2016JJ00";"13038";"13067"
"17839";"GM0738";"2017JJ00";"13067";"13153"
"17852";"GM0738";"2018JJ00";"13153";"13321"
"17865";"GM0738";"2019JJ00";;
"17878";"GM0738";"2020JJ00";;
"17891";"GM0738";"2021JJ00";;
"17904";"GM0738";"2022JJ00";;
"17917";"GM0738";"2023JJ00";;
"17930";"GM0738";"2024JJ00";;
"17948";"GM0358";"2002JJ00";"22786";"22839"
"17961";"GM0358";"2003JJ00";"22839";"22915"
"17974";"GM0358";"2004JJ00";"22915";"23296"
"17987";"GM0358";"2005JJ00";"23296";"24145"
"18000";"GM0358";"2006JJ00";"24145";"25019"
"18013";"GM0358";"2007JJ00";"25019";"26386"
"18026";"GM0358";"2008JJ00";"26386";"28006"
"18039";"GM0358";"2009JJ00";"28006";"29187"
"18052";"GM0358";"2010JJ00";"29187";"30189"
"18065";"GM0358";"2011JJ00";"30189";"30364"
"18078";"GM0358";"2012JJ00";"30364";"30618"
"18091";"GM0358";"2013JJ00";"30618";"30759"
"18104";"GM0358";"2014JJ00";"30759";"31077"
"18117";"GM0358";"2015JJ00";"31077";"31299"
"18130";"GM0358";"2016JJ00";"31299";"31373"
"18143";"GM0358";"2017JJ00";"31373";"31499"
"18156";"GM0358";"2018JJ00";"31499";"31728"
"18169";"GM0358";"2019JJ00";"31728";"31859"
"18182";"GM0358";"2020JJ00";"31859";"31991"
"18195";"GM0358";"2021JJ00";"31991";"32452"
"18208";"GM0358";"2022JJ00";"32452";"33063"
"18221";"GM0358";"2023JJ00";"33063";"33279"
"18234";"GM0358";"2024JJ00";"33279";"33250"
"18252";"GM0197";"2002JJ00";"18811";"18855"
"18265";"GM0197";"2003JJ00";"18855";"18998"
"18278";"GM0197";"2004JJ00";"18998";"18935"
"18291";"GM0197";"2005JJ00";"27446";"27476"
"18304";"GM0197";"2006JJ00";"27476";"27570"
"18317";"GM0197";"2007JJ00";"27570";"27568"
"18330";"GM0197";"2008JJ00";"27568";"27447"
"18343";"GM0197";"2009JJ00";"27447";"27500"
"18356";"GM0197";"2010JJ00";"27500";"27439"
"18369";"GM0197";"2011JJ00";"27439";"27305"
"18382";"GM0197";"2012JJ00";"27305";"27082"
"18395";"GM0197";"2013JJ00";"27082";"27013"
"18408";"GM0197";"2014JJ00";"27013";"26904"
"18421";"GM0197";"2015JJ00";"26904";"26912"
"18434";"GM0197";"2016JJ00";"26912";"27047"
"18447";"GM0197";"2017JJ00";"27047";"26962"
"18460";"GM0197";"2018JJ00";"26962";"27011"
"18473";"GM0197";"2019JJ00";"27011";"27121"
"18486";"GM0197";"2020JJ00";"27121";"27120"
"18499";"GM0197";"2021JJ00";"27120";"27100"
"18512";"GM0197";"2022JJ00";"27100";"27244"
"18525";"GM0197";"2023JJ00";"27244";"27308"
"18538";"GM0197";"2024JJ00";"27308";"27466"
"18556";"GM0480";"2002JJ00";"9083";"9080"
"18569";"GM0480";"2003JJ00";"9080";"9010"
"18582";"GM0480";"2004JJ00";"9010";"8999"
"18595";"GM0480";"2005JJ00";"8999";"8988"
"18608";"GM0480";"2006JJ00";"8988";"8964"
"18621";"GM0480";"2007JJ00";;
"18634";"GM0480";"2008JJ00";;
"18647";"GM0480";"2009JJ00";;
"18660";"GM0480";"2010JJ00";;
"18673";"GM0480";"2011JJ00";;
"18686";"GM0480";"2012JJ00";;
"18699";"GM0480";"2013JJ00";;
"18712";"GM0480";"2014JJ00";;
"18725";"GM0480";"2015JJ00";;
"18738";"GM0480";"2016JJ00";;
"18751";"GM0480";"2017JJ00";;
"18764";"GM0480";"2018JJ00";;
"18777";"GM0480";"2019JJ00";;
"18790";"GM0480";"2020JJ00";;
"18803";"GM0480";"2021JJ00";;
"18816";"GM0480";"2022JJ00";;
"18829";"GM0480";"2023JJ00";;
"18842";"GM0480";"2024JJ00";;
"18860";"GM0305";"2002JJ00";"8524";"8595"
"18873";"GM0305";"2003JJ00";"8595";"8624"
"18886";"GM0305";"2004JJ00";"8624";"8603"
"18899";"GM0305";"2005JJ00";"8603";"8670"
"18912";"GM0305";"2006JJ00";"8670";"8651"
"18925";"GM0305";"2007JJ00";"8651";"8688"
"18938";"GM0305";"2008JJ00";"8688";"8680"
"18951";"GM0305";"2009JJ00";"8680";"8764"
"18964";"GM0305";"2010JJ00";"8764";"8791"
"18977";"GM0305";"2011JJ00";;
"18990";"GM0305";"2012JJ00";;
"19003";"GM0305";"2013JJ00";;
"19016";"GM0305";"2014JJ00";;
"19029";"GM0305";"2015JJ00";;
"19042";"GM0305";"2016JJ00";;
"19055";"GM0305";"2017JJ00";;
"19068";"GM0305";"2018JJ00";;
"19081";"GM0305";"2019JJ00";;
"19094";"GM0305";"2020JJ00";;
"19107";"GM0305";"2021JJ00";;
"19120";"GM0305";"2022JJ00";;
"19133";"GM0305";"2023JJ00";;
"19146";"GM0305";"2024JJ00";;
"19164";"GM0059";"2002JJ00";"28045";"28102"
"19177";"GM0059";"2003JJ00";"28102";"28156"
"19190";"GM0059";"2004JJ00";"28156";"28134"
"19203";"GM0059";"2005JJ00";"28134";"28223"
"19216";"GM0059";"2006JJ00";"28223";"28143"
"19229";"GM0059";"2007JJ00";"28143";"28088"
"19242";"GM0059";"2008JJ00";"28088";"28139"
"19255";"GM0059";"2009JJ00";"28139";"28088"
"19268";"GM0059";"2010JJ00";"28088";"28123"
"19281";"GM0059";"2011JJ00";"28123";"28091"
"19294";"GM0059";"2012JJ00";"28091";"28110"
"19307";"GM0059";"2013JJ00";"28110";"28016"
"19320";"GM0059";"2014JJ00";"28016";"27983"
"19333";"GM0059";"2015JJ00";"27983";"28007"
"19346";"GM0059";"2016JJ00";"28007";"27893"
"19359";"GM0059";"2017JJ00";"27893";"27935"
"19372";"GM0059";"2018JJ00";"27935";"27852"
"19385";"GM0059";"2019JJ00";"27852";"27843"
"19398";"GM0059";"2020JJ00";"27843";"27900"
"19411";"GM0059";"2021JJ00";"27900";"27954"
"19424";"GM0059";"2022JJ00";"27954";"28149"
"19437";"GM0059";"2023JJ00";"28149";"28226"
"19450";"GM0059";"2024JJ00";"28226";"28200"
"19468";"GM0482";"2002JJ00";"18388";"18425"
"19481";"GM0482";"2003JJ00";"18425";"18386"
"19494";"GM0482";"2004JJ00";"18386";"18356"
"19507";"GM0482";"2005JJ00";"18356";"18426"
"19520";"GM0482";"2006JJ00";"18426";"18666"
"19533";"GM0482";"2007JJ00";"18666";"18718"
"19546";"GM0482";"2008JJ00";"18718";"18839"
"19559";"GM0482";"2009JJ00";"18839";"19014"
"19572";"GM0482";"2010JJ00";"19014";"19208"
"19585";"GM0482";"2011JJ00";"19208";"19467"
"19598";"GM0482";"2012JJ00";"19467";"19643"
"19611";"GM0482";"2013JJ00";"19643";"19801"
"19624";"GM0482";"2014JJ00";"19801";"19845"
"19637";"GM0482";"2015JJ00";"19845";"19955"
"19650";"GM0482";"2016JJ00";"19955";"20008"
"19663";"GM0482";"2017JJ00";"20008";"20014"
"19676";"GM0482";"2018JJ00";"20014";"20069"
"19689";"GM0482";"2019JJ00";"20069";"20165"
"19702";"GM0482";"2020JJ00";"20165";"20136"
"19715";"GM0482";"2021JJ00";"20136";"20087"
"19728";"GM0482";"2022JJ00";"20087";"20356"
"19741";"GM0482";"2023JJ00";"20356";"20314"
"19754";"GM0482";"2024JJ00";"20314";"20242"
"19772";"GM0613";"2002JJ00";"18092";"18737"
"19785";"GM0613";"2003JJ00";"18737";"19607"
"19798";"GM0613";"2004JJ00";"19607";"20606"
"19811";"GM0613";"2005JJ00";"20606";"21059"
"19824";"GM0613";"2006JJ00";"21059";"21523"
"19837";"GM0613";"2007JJ00";"21523";"22453"
"19850";"GM0613";"2008JJ00";"22453";"22974"
"19863";"GM0613";"2009JJ00";"22974";"24191"
"19876";"GM0613";"2010JJ00";"24191";"24674"
"19889";"GM0613";"2011JJ00";"24674";"25003"
"19902";"GM0613";"2012JJ00";"25003";"25101"
"19915";"GM0613";"2013JJ00";"25101";"25069"
"19928";"GM0613";"2014JJ00";"25069";"25148"
"19941";"GM0613";"2015JJ00";"25148";"24985"
"19954";"GM0613";"2016JJ00";"24985";"25105"
"19967";"GM0613";"2017JJ00";"25105";"25218"
"19980";"GM0613";"2018JJ00";"25218";"25271"
"19993";"GM0613";"2019JJ00";"25271";"25590"
"20006";"GM0613";"2020JJ00";"25590";"25814"
"20019";"GM0613";"2021JJ00";"25814";"25934"
"20032";"GM0613";"2022JJ00";"25934";"26357"
