"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"6461";"T001038";"GM0361";"2012JJ00";"94505"
"6462";"T001038";"GM0361";"2013JJ00";"94866"
"6463";"T001038";"GM0361";"2014JJ00";"95248"
"6464";"T001038";"GM0361";"2015JJ00";"107615"
"6465";"T001038";"GM0361";"2016JJ00";"108373"
"6466";"T001038";"GM0361";"2017JJ00";"108470"
"6467";"T001038";"GM0361";"2018JJ00";"108558"
"6468";"T001038";"GM0361";"2019JJ00";"109436"
"6469";"T001038";"GM0361";"2020JJ00";"109896"
"6470";"T001038";"GM0361";"2021JJ00";"110783"
"6471";"T001038";"GM0361";"2022JJ00";"111834"
"6472";"T001038";"GM0361";"2023JJ00";"112304"
"6473";"T001038";"GM0361";"2024JJ00";"112896"
"6627";"T001038";"GM0034";"2012JJ00";"195213"
"6628";"T001038";"GM0034";"2013JJ00";"196013"
"6629";"T001038";"GM0034";"2014JJ00";"196932"
"6630";"T001038";"GM0034";"2015JJ00";"198145"
"6631";"T001038";"GM0034";"2016JJ00";"200914"
"6632";"T001038";"GM0034";"2017JJ00";"203990"
"6633";"T001038";"GM0034";"2018JJ00";"207904"
"6634";"T001038";"GM0034";"2019JJ00";"211893"
"6635";"T001038";"GM0034";"2020JJ00";"214715"
"6636";"T001038";"GM0034";"2021JJ00";"217828"
"6637";"T001038";"GM0034";"2022JJ00";"222825"
"6638";"T001038";"GM0034";"2023JJ00";"226500"
"6639";"T001038";"GM0034";"2024JJ00";"229574"
"8121";"T001038";"GM0363";"2012JJ00";"799278"
"8122";"T001038";"GM0363";"2013JJ00";"810767"
"8123";"T001038";"GM0363";"2014JJ00";"821752"
"8124";"T001038";"GM0363";"2015JJ00";"833624"
"8125";"T001038";"GM0363";"2016JJ00";"844947"
"8126";"T001038";"GM0363";"2017JJ00";"854047"
"8127";"T001038";"GM0363";"2018JJ00";"862965"
"8128";"T001038";"GM0363";"2019JJ00";"872757"
"8129";"T001038";"GM0363";"2020JJ00";"873338"
"8130";"T001038";"GM0363";"2021JJ00";"882633"
"8131";"T001038";"GM0363";"2022JJ00";"918117"
"8132";"T001038";"GM0363";"2023JJ00";"931298"
"8133";"T001038";"GM0363";"2024JJ00";"934526"
"9200";"T001038";"GM0202";"2012JJ00";"149827"
"9201";"T001038";"GM0202";"2013JJ00";"150823"
"9202";"T001038";"GM0202";"2014JJ00";"152293"
"9203";"T001038";"GM0202";"2015JJ00";"153818"
"9204";"T001038";"GM0202";"2016JJ00";"155699"
"9205";"T001038";"GM0202";"2017JJ00";"157223"
"9206";"T001038";"GM0202";"2018JJ00";"159265"
"9207";"T001038";"GM0202";"2019JJ00";"161348"
"9208";"T001038";"GM0202";"2020JJ00";"162424"
"9209";"T001038";"GM0202";"2021JJ00";"163888"
"9210";"T001038";"GM0202";"2022JJ00";"165770"
"9211";"T001038";"GM0202";"2023JJ00";"167632"
"9212";"T001038";"GM0202";"2024JJ00";"169364"
"9366";"T001038";"GM0106";"2012JJ00";"67204"
"9367";"T001038";"GM0106";"2013JJ00";"67190"
"9368";"T001038";"GM0106";"2014JJ00";"67165"
"9369";"T001038";"GM0106";"2015JJ00";"67061"
"9370";"T001038";"GM0106";"2016JJ00";"67551"
"9371";"T001038";"GM0106";"2017JJ00";"67708"
"9372";"T001038";"GM0106";"2018JJ00";"67963"
"9373";"T001038";"GM0106";"2019JJ00";"68599"
"9374";"T001038";"GM0106";"2020JJ00";"68836"
"9375";"T001038";"GM0106";"2021JJ00";"68979"
"9376";"T001038";"GM0106";"2022JJ00";"69414"
"9377";"T001038";"GM0106";"2023JJ00";"69701"
"9378";"T001038";"GM0106";"2024JJ00";"70392"
"16006";"T001038";"GM0377";"2012JJ00";"22195"
"16007";"T001038";"GM0377";"2013JJ00";"22059"
"16008";"T001038";"GM0377";"2014JJ00";"22256"
"16009";"T001038";"GM0377";"2015JJ00";"22296"
