"Bevolkingsontwikkeling; regio per maand";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Perioden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regio's;Onderwerp;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024;2025 januari*;2025 februari*;2025 maart*;2025 april *;2025 mei*;2025 juni*;2025 juli*;2025 augustus*;2025 september*;2025 oktober*
Nederland;Bevolking aan het einde van de periode;aantal;16192572;16258032;16305526;16334210;16357992;16405399;16485787;16574989;16655799;16730348;16779575;16829289;16900726;16979120;17081507;17181084;17282163;17407585;17475415;17590672;17942942;18044027;18050351;18058940;18064744;18071919;18077662;18080943;18083010;18100436;18121550;18130662
Groningen (PV);Bevolking aan het einde van de periode;aantal;572997;574384;575072;574042;573614;573459;574092;576668;579036;580875;581705;582728;583942;583721;583581;582944;583990;585866;586937;590170;601347;602833;602346;602483;602211;602030;601839;601179;600288;601827;602593;602080
Fryslân (PV);Bevolking aan het einde van de periode;aantal;639787;642066;642977;642230;642209;643189;644811;646305;647282;647214;646862;646317;646257;646040;646874;647268;647672;649957;651435;654019;661904;664222;664270;664363;664493;664444;664600;664653;664683;665012;665469;665602
Drenthe (PV);Bevolking aan het einde van de periode;aantal;481254;482415;483369;484481;486197;488135;489918;490981;491411;490807;489918;488988;488576;488629;491792;492100;492167;493682;494771;497743;504129;506529;506444;506507;506531;506679;506858;507038;507493;507764;508012;508138
Overijssel (PV);Bevolking aan het einde van de periode;aantal;1100677;1105512;1109432;1113529;1116374;1119994;1125435;1130345;1134465;1137668;1139350;1139697;1140652;1144280;1147687;1151501;1156431;1162406;1166533;1171910;1189033;1195789;1195948;1196782;1197297;1197840;1198385;1198749;1199129;1199938;1201511;1201980
Flevoland (PV);Bevolking aan het einde van de periode;aantal;351680;359904;365859;370656;374424;378688;383449;387881;391967;395525;398441;399893;401791;404068;407818;411670;416546;423021;428226;434771;450826;456395;457011;457989;458655;459212;459767;460198;460615;461105;461637;462120
Gelderland (PV);Bevolking aan het einde van de periode;aantal;1960422;1966929;1972010;1975704;1979059;1983869;1991062;1998936;2004671;2010745;2015791;2019692;2026578;2035351;2047901;2060103;2071972;2085952;2096603;2110472;2149071;2161358;2162114;2162947;2163668;2164404;2165376;2166218;2167357;2169840;2172240;2173204
Utrecht (PV);Bevolking aan het einde van de periode;aantal;1152218;1162258;1171291;1180039;1190604;1201350;1210869;1220910;1228794;1237113;1245294;1253672;1263572;1273613;1284504;1295484;1306890;1354834;1361153;1369873;1400057;1409144;1409717;1410831;1411556;1411871;1412265;1412486;1412438;1413278;1414834;1415409
Noord-Holland (PV);Bevolking aan het einde van de periode;aantal;2573120;2587265;2599103;2606584;2613070;2626163;2646445;2669084;2691477;2709836;2724300;2741369;2761929;2784854;2809483;2831182;2853359;2879527;2888486;2909827;2976487;2992016;2994285;2996186;2997126;2998936;3000271;3000692;3000523;3003967;3008270;3010000
Zuid-Holland (PV);Bevolking aan het einde van de periode;aantal;3439982;3451942;3458381;3458875;3455097;3461435;3481558;3505611;3528324;3552397;3563935;3577032;3600011;3622303;3650222;3681044;3709161;3708696;3726050;3753944;3840460;3863397;3865070;3866330;3867835;3869620;3870063;3870519;3870639;3873813;3879212;3882269
Zeeland (PV);Bevolking aan het einde van de periode;aantal;378348;379028;379978;380186;380497;380585;380984;381409;381530;381407;381077;380621;380726;381252;381568;382304;383032;383488;385400;386767;391634;392969;393051;393276;393399;393636;393766;393939;394094;394211;394361;394573
Noord-Brabant (PV);Bevolking aan het einde van de periode;aantal;2400198;2406994;2411359;2415946;2419042;2424827;2434560;2444158;2454215;2463686;2471011;2479274;2488751;2498749;2512531;2528286;2544806;2562955;2573949;2592874;2644739;2664047;2664915;2666065;2666862;2667925;2668726;2669448;2670315;2673028;2675025;2676386
Limburg (PV);Bevolking aan het einde van de periode;aantal;1141889;1139335;1136695;1131938;1127805;1123705;1122604;1122701;1122627;1123075;1121891;1120006;1117941;1116260;1117546;1117198;1116137;1117201;1115872;1118302;1133255;1135328;1135180;1135181;1135111;1135322;1135746;1135824;1135436;1136653;1138386;1138901
Aa en Hunze;Bevolking aan het einde van de periode;aantal;25305;25218;25329;25507;25563;25598;25675;25563;25785;25738;25541;25357;25203;25243;25286;25390;25386;25445;25399;25579;25845;25935;25967;25954;25953;25948;25959;25986;26055;26089;26071;26059
Aalburg;Bevolking aan het einde van de periode;aantal;12087;12204;12164;12222;12293;12386;12556;12614;12685;12749;12774;12846;12922;13038;13067;13153;13321;;;;;;;;;;;;;;;
Aalsmeer;Bevolking aan het einde van de periode;aantal;22839;22915;23296;24145;25019;26386;28006;29187;30189;30364;30618;30759;31077;31299;31373;31499;31728;31859;31991;32452;33279;33250;33264;33277;33259;33229;33252;33266;33309;33290;33335;33363
Aalten;Bevolking aan het einde van de periode;aantal;18855;18998;18935;27476;27570;27568;27447;27500;27439;27305;27082;27013;26904;26912;27047;26962;27011;27121;27120;27100;27308;27466;27454;27444;27437;27478;27518;27514;27562;27567;27566;27596
Ter Aar;Bevolking aan het einde van de periode;aantal;9080;9010;8999;8988;8964;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abcoude;Bevolking aan het einde van de periode;aantal;8595;8624;8603;8670;8651;8688;8680;8764;8791;;;;;;;;;;;;;;;;;;;;;;;
Achtkarspelen;Bevolking aan het einde van de periode;aantal;28102;28156;28134;28223;28143;28088;28139;28088;28123;28091;28110;28016;27983;28007;27893;27935;27852;27843;27900;27954;28226;28200;28173;28145;28160;28198;28194;28223;28223;28259;28270;28291
Alblasserdam;Bevolking aan het einde van de periode;aantal;18425;18386;18356;18426;18666;18718;18839;19014;19208;19467;19643;19801;19845;19955;20008;20014;20069;20165;20136;20087;20314;20242;20226;20199;20178;20193;20187;20196;20192;20237;20251;20261
Albrandswaard;Bevolking aan het einde van de periode;aantal;18737;19607;20606;21059;21523;22453;22974;24191;24674;25003;25101;25069;25148;24985;25105;25218;25271;25590;25814;25934;26428;26707;26683;26680;26643;26644;26619;26599;26607;26569;26619;26601
Alkemade;Bevolking aan het einde van de periode;aantal;14428;14481;14501;14512;14536;14481;14628;;;;;;;;;;;;;;;;;;;;;;;;;
Alkmaar;Bevolking aan het einde van de periode;aantal;93390;94121;94266;94455;94174;93876;93416;93861;93936;94269;94505;94866;95248;107615;108373;108470;108558;109436;109896;110783;112304;112896;112847;112867;112918;112937;113020;113140;113148;113142;113177;113129
Almelo;Bevolking aan het einde van de periode;aantal;71729;72227;72293;72048;72096;72287;72428;72602;72599;72757;72729;72459;72291;72425;72479;72629;72849;73107;73132;73155;74317;74776;74862;74886;74925;75014;75028;74977;75009;75030;75025;75009
Almere;Bevolking aan het einde van de periode;aantal;165106;170704;175007;178466;180924;183270;185746;188160;190655;193163;195213;196013;196932;198145;200914;203990;207904;211893;214715;217828;226500;229574;229798;230229;230619;230930;231202;231453;231638;231921;232102;232356
Alphen aan den Rijn;Bevolking aan het einde van de periode;aantal;70706;70477;70591;70955;71100;71658;72178;72534;72680;72853;72913;73124;107396;107960;108915;109682;110986;111897;112587;112926;114966;115773;115908;115930;115970;116212;116317;116443;116537;116781;116905;117043
Alphen-Chaam;Bevolking aan het einde van de periode;aantal;9413;9414;9513;9491;9461;9455;9421;9436;9466;9525;9640;9717;9753;9924;10058;10083;10149;10203;10373;10425;10455;10539;10522;10527;10515;10515;10514;10511;10508;10509;10485;10474
Altena;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;;55967;56352;57009;58277;58726;58767;58738;58755;58784;58862;58862;58847;58824;58863;58894
Ambt Montfort;Bevolking aan het einde van de periode;aantal;10994;10989;10918;10998;10909;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameland;Bevolking aan het einde van de periode;aantal;3576;3525;3520;3475;3460;3456;3466;3501;3503;3526;3525;3578;3590;3611;3633;3654;3673;3716;3746;3757;3839;3800;3798;3794;3809;3814;3825;3860;3860;3854;3847;3843
Amerongen;Bevolking aan het einde van de periode;aantal;7194;7231;7272;7273;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amersfoort;Bevolking aan het einde van de periode;aantal;131221;132851;134906;136999;139054;141211;143212;144862;146592;148250;149662;150897;152481;153602;154337;155226;156286;157276;157462;158590;161852;163298;163450;163600;163723;163787;163904;163962;163909;163896;163937;163888
Amstelveen;Bevolking aan het einde van de periode;aantal;78095;78866;79036;78774;78945;78980;79768;80695;81796;83363;84379;85015;87162;88602;89294;89870;90838;91675;90829;92331;95014;95822;95882;95859;95742;95782;95719;95632;95403;95725;95887;95955
Amsterdam;Bevolking aan het einde van de periode;aantal;736562;739104;742783;743070;742884;747093;755605;767457;779808;790110;799278;810767;821752;833624;844947;854047;862965;872757;873338;882633;931298;934526;935297;936595;936829;937631;938107;937643;936502;938969;942100;942894
Andijk;Bevolking aan het einde van de periode;aantal;6390;6423;6425;6470;6593;6581;6495;6504;6518;;;;;;;;;;;;;;;;;;;;;;;
Angerlo;Bevolking aan het einde van de periode;aantal;4994;5136;5184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anna Paulowna;Bevolking aan het einde van de periode;aantal;13940;13953;13960;14022;14009;14123;14155;14234;14260;14304;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;Bevolking aan het einde van de periode;aantal;155741;156000;156064;156051;155564;155108;155332;155726;156199;156961;157315;157545;158099;159025;160047;161156;162445;163818;164781;165611;168211;168551;168717;168820;168720;168793;168832;168853;169081;169119;169143;169206
Appingedam;Bevolking aan het einde van de periode;aantal;12467;12415;12437;12291;12187;12131;12114;12032;12090;12053;12053;12064;12011;12001;11971;11801;11721;11642;11496;;;;;;;;;;;;;
Arcen en Velden;Bevolking aan het einde van de periode;aantal;8948;8870;8892;8864;8780;8743;8711;8668;;;;;;;;;;;;;;;;;;;;;;;;
Arnhem;Bevolking aan het einde van de periode;aantal;141528;141601;141321;142195;142569;143582;145574;147018;148070;149271;149827;150823;152293;153818;155699;157223;159265;161348;162424;163888;167632;169364;169554;169668;169801;169852;170035;170375;170582;171225;171916;172239
Assen;Bevolking aan het einde van de periode;aantal;61577;61925;62755;63383;64391;65487;66369;66857;67177;67208;67204;67190;67165;67061;67551;67708;67963;68599;68836;68979;69701;70392;70400;70386;70436;70465;70542;70560;70693;70761;70852;70828
Asten;Bevolking aan het einde van de periode;aantal;16091;16138;16261;16299;16374;16392;16363;16335;16296;16404;16392;16440;16559;16580;16714;16719;16710;16721;16817;17068;17302;17385;17413;17434;17489;17469;17479;17485;17487;17484;17472;17467
Axel;Bevolking aan het einde van de periode;aantal;12266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baarle-Nassau;Bevolking aan het einde van de periode;aantal;6507;6545;6581;6648;6674;6664;6682;6703;6704;6722;6699;6612;6599;6611;6657;6799;6847;6859;6899;6931;7076;7205;7184;7196;7172;7182;7180;7190;7204;7214;7231;7258
Baarn;Bevolking aan het einde van de periode;aantal;24423;24503;24416;24513;24375;24406;24335;24317;24379;24352;24277;24314;24406;24521;24529;24630;24767;24868;24792;24876;25065;25184;25203;25168;25215;25260;25287;25296;25304;25363;25370;25371
Barendrecht;Bevolking aan het einde van de periode;aantal;35880;37257;39294;41249;43044;44962;45861;46449;46831;47053;47371;47377;47521;47861;48344;48477;48673;48714;48643;48714;48690;48550;48531;48491;48446;48454;48471;48538;48523;48568;48611;48595
Barneveld;Bevolking aan het einde van de periode;aantal;49423;50019;50026;50448;50953;51486;52066;52490;53026;53521;53751;54141;54703;55441;56376;57339;57971;59082;59992;60584;62592;63152;63226;63256;63347;63356;63407;63495;63552;63588;63668;63789
Bathmen;Bevolking aan het einde van de periode;aantal;5280;5328;5339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bedum;Bevolking aan het einde van de periode;aantal;10883;10816;10733;10675;10601;10550;10462;10447;10495;10508;10553;10494;10441;10433;10479;10475;10493;;;;;;;;;;;;;;;
Beek (L.);Bevolking aan het einde van de periode;aantal;17065;17105;17020;16926;16717;16696;16607;16579;16548;16457;16367;16271;16214;16068;15951;15895;15929;15865;15875;15817;16215;16251;16268;16249;16224;16209;16213;16205;16239;16220;16206;16186
Beekdaelen;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;;35938;36065;35922;35896;35824;35837;35819;35822;35873;35876;35864;35882;35917;35960;35952
Beemster;Bevolking aan het einde van de periode;aantal;8536;8541;8524;8515;8476;8474;8564;8584;8573;8719;8785;8910;8903;8958;9205;9550;9748;10022;10110;10703;;;;;;;;;;;;
Beesel;Bevolking aan het einde van de periode;aantal;13466;13341;13401;13521;13646;13643;13795;13902;13844;13742;13688;13617;13511;13388;13405;13444;13519;13482;13450;13408;13394;13524;13526;13504;13499;13501;13492;13514;13509;13519;13524;13545
