"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Nederland";"Bevolking aan het einde van de periode";"aantal";"16192572";"16258032";"16305526";"16334210";"16357992";"16405399";"16485787";"16574989";"16655799";"16730348";"16779575";"16829289";"16900726";"16979120";"17081507";"17181084";"17282163";"17407585";"17475415";"17590672";"17811291";"17942942";"18044027"
"Groningen (PV)";"Bevolking aan het einde van de periode";"aantal";"572997";"574384";"575072";"574042";"573614";"573459";"574092";"576668";"579036";"580875";"581705";"582728";"583942";"583721";"583581";"582944";"583990";"585866";"586937";"590170";"596075";"601347";"602833"
"Fryslân (PV)";"Bevolking aan het einde van de periode";"aantal";"639787";"642066";"642977";"642230";"642209";"643189";"644811";"646305";"647282";"647214";"646862";"646317";"646257";"646040";"646874";"647268";"647672";"649957";"651435";"654019";"659551";"661904";"664222"
"Drenthe (PV)";"Bevolking aan het einde van de periode";"aantal";"481254";"482415";"483369";"484481";"486197";"488135";"489918";"490981";"491411";"490807";"489918";"488988";"488576";"488629";"491792";"492100";"492167";"493682";"494771";"497743";"502051";"504129";"506529"
"Overijssel (PV)";"Bevolking aan het einde van de periode";"aantal";"1100677";"1105512";"1109432";"1113529";"1116374";"1119994";"1125435";"1130345";"1134465";"1137668";"1139350";"1139697";"1140652";"1144280";"1147687";"1151501";"1156431";"1162406";"1166533";"1171910";"1184333";"1189033";"1195789"
"Flevoland (PV)";"Bevolking aan het einde van de periode";"aantal";"351680";"359904";"365859";"370656";"374424";"378688";"383449";"387881";"391967";"395525";"398441";"399893";"401791";"404068";"407818";"411670";"416546";"423021";"428226";"434771";"444701";"450826";"456395"
"Gelderland (PV)";"Bevolking aan het einde van de periode";"aantal";"1960422";"1966929";"1972010";"1975704";"1979059";"1983869";"1991062";"1998936";"2004671";"2010745";"2015791";"2019692";"2026578";"2035351";"2047901";"2060103";"2071972";"2085952";"2096603";"2110472";"2133708";"2149071";"2161358"
"Utrecht (PV)";"Bevolking aan het einde van de periode";"aantal";"1152218";"1162258";"1171291";"1180039";"1190604";"1201350";"1210869";"1220910";"1228794";"1237113";"1245294";"1253672";"1263572";"1273613";"1284504";"1295484";"1306890";"1354834";"1361153";"1369873";"1387643";"1400057";"1409144"
"Noord-Holland (PV)";"Bevolking aan het einde van de periode";"aantal";"2573120";"2587265";"2599103";"2606584";"2613070";"2626163";"2646445";"2669084";"2691477";"2709836";"2724300";"2741369";"2761929";"2784854";"2809483";"2831182";"2853359";"2879527";"2888486";"2909827";"2952622";"2976487";"2992016"
"Zuid-Holland (PV)";"Bevolking aan het einde van de periode";"aantal";"3439982";"3451942";"3458381";"3458875";"3455097";"3461435";"3481558";"3505611";"3528324";"3552397";"3563935";"3577032";"3600011";"3622303";"3650222";"3681044";"3709161";"3708696";"3726050";"3753944";"3804906";"3840460";"3863397"
"Zeeland (PV)";"Bevolking aan het einde van de periode";"aantal";"378348";"379028";"379978";"380186";"380497";"380585";"380984";"381409";"381530";"381407";"381077";"380621";"380726";"381252";"381568";"382304";"383032";"383488";"385400";"386767";"391124";"391634";"392969"
"Noord-Brabant (PV)";"Bevolking aan het einde van de periode";"aantal";"2400198";"2406994";"2411359";"2415946";"2419042";"2424827";"2434560";"2444158";"2454215";"2463686";"2471011";"2479274";"2488751";"2498749";"2512531";"2528286";"2544806";"2562955";"2573949";"2592874";"2626210";"2644739";"2664047"
"Limburg (PV)";"Bevolking aan het einde van de periode";"aantal";"1141889";"1139335";"1136695";"1131938";"1127805";"1123705";"1122604";"1122701";"1122627";"1123075";"1121891";"1120006";"1117941";"1116260";"1117546";"1117198";"1116137";"1117201";"1115872";"1118302";"1128367";"1133255";"1135328"
"Aa en Hunze";"Bevolking aan het einde van de periode";"aantal";"25305";"25218";"25329";"25507";"25563";"25598";"25675";"25563";"25785";"25738";"25541";"25357";"25203";"25243";"25286";"25390";"25386";"25445";"25399";"25579";"25724";"25845";"25935"
"Aalburg";"Bevolking aan het einde van de periode";"aantal";"12087";"12204";"12164";"12222";"12293";"12386";"12556";"12614";"12685";"12749";"12774";"12846";"12922";"13038";"13067";"13153";"13321";"";"";"";"";"";""
"Aalsmeer";"Bevolking aan het einde van de periode";"aantal";"22839";"22915";"23296";"24145";"25019";"26386";"28006";"29187";"30189";"30364";"30618";"30759";"31077";"31299";"31373";"31499";"31728";"31859";"31991";"32452";"33063";"33279";"33250"
